event_id,measure,position,variant,channel_mode,sample,source_start_ms,source_end_ms,duration_ms,fade_in_ms,fade_out_ms,timing_rule,timing_note
33,35,2-of-3,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-033-alto.mp3,92794.0,98627.333,5833.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
33,35,2-of-3,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-033-tenor-bass.mp3,92794.0,98627.333,5833.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
34,36,2-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-034-soprano.mp3,95294.0,104044.333,8750.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
34,36,2-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-034-alto.mp3,95294.0,104044.333,8750.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
34,36,2-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-034-tenor-bass.mp3,95294.0,104044.333,8750.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
35,37,4+1/2-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-035-soprano.mp3,100711.0,105294.333,4583.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
35,37,4+1/2-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-035-alto.mp3,100711.0,105294.333,4583.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
35,37,4+1/2-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-035-tenor-bass.mp3,100711.0,105294.333,4583.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
36,38,2-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-036-soprano.mp3,101961.0,105711.333,3750.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
36,38,2-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-036-alto.mp3,101961.0,105711.333,3750.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
36,38,2-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-036-tenor-bass.mp3,101961.0,105711.333,3750.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
37,38,2+1/2-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-037-soprano.mp3,102378.0,106544.333,4166.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
37,38,2+1/2-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-037-alto.mp3,102378.0,106544.333,4166.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
37,38,2+1/2-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-037-tenor-bass.mp3,102378.0,106544.333,4166.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
38,38,3+1/2-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-038-soprano.mp3,103211.0,106961.333,3750.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
38,38,3+1/2-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-038-alto.mp3,103211.0,106961.333,3750.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
38,38,3+1/2-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-038-tenor-bass.mp3,103211.0,106961.333,3750.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
39,38,4-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-039-soprano.mp3,103628.0,107794.333,4166.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
39,38,4-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-039-alto.mp3,103628.0,107794.333,4166.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
39,38,4-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-039-tenor-bass.mp3,103628.0,107794.333,4166.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
40,39,1-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-040-soprano.mp3,104461.0,108627.333,4166.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
40,39,1-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-040-alto.mp3,104461.0,108627.333,4166.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
40,39,1-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-040-tenor-bass.mp3,104461.0,108627.333,4166.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
41,39,2-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-041-soprano.mp3,105294.0,109461.333,4167.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
41,39,2-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-041-alto.mp3,105294.0,109461.333,4167.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
41,39,2-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-041-tenor-bass.mp3,105294.0,109461.333,4167.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
42,39,3-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-042-soprano.mp3,106128.0,110294.333,4166.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
42,39,3-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-042-alto.mp3,106128.0,110294.333,4166.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
